participant-id,years-of-experience,role-in-code-review,programming-language,project,injected-issues,issue-id,issue-type,issue-severity,treatment,Is-injected-issue-identified
dev1,15,Contributor&Reviewer,Java,maze-generator,1,j1,Evolvability Defect -> Structure -> Solution Approach,2.5,MCR,1
dev1,15,Contributor&Reviewer,Java,tic-tac-toe,2,j2,Evolvability Defect -> Structure -> Organization,2,ACR,0
dev1,15,Contributor&Reviewer,Java,tic-tac-toe,2,j3,Evolvability Defect -> Structure -> Organization,2.5,ACR,0
dev1,15,Contributor&Reviewer,Java,todo-list,3,j4,Evolvability Defect -> Structure -> Solution Approach,2.5,CCR,1
dev1,15,Contributor&Reviewer,Java,todo-list,3,j5,Functional Defect -> Check,3,CCR,1
dev1,15,Contributor&Reviewer,Java,todo-list,3,j6,Functional Defect -> Check,3,CCR,1
dev10,8,Contributor&Reviewer,Python,todo-list,3,p10,Functional Defect -> Check,3,CCR,1
dev10,8,Contributor&Reviewer,Python,todo-list,3,p11,Functional Defect -> Check,3,CCR,1
dev10,8,Contributor&Reviewer,Python,todo-list,3,p12,Functional Defect -> Logic,2,CCR,1
dev10,8,Contributor&Reviewer,Python,stopwatch,4,p13,Evolvability Defect -> Documentation -> Textual,2.5,MCR,1
dev10,8,Contributor&Reviewer,Python,stopwatch,4,p14,Evolvability Defect -> Documentation -> Textual,2.5,MCR,0
dev10,8,Contributor&Reviewer,Python,stopwatch,4,p15,Evolvability Defect -> Structure -> Solution Approach,2,MCR,1
dev10,8,Contributor&Reviewer,Python,stopwatch,4,p16,Evolvability Defect -> Structure -> Solution Approach,2,MCR,0
dev11,10,Contributor&Reviewer,Java,tic-tac-toe,2,j2,Evolvability Defect -> Documentation -> Textual,1.5,MCR,1
dev11,10,Contributor&Reviewer,Java,tic-tac-toe,2,j3,Evolvability Defect -> Documentation -> Textual,1.5,MCR,0
dev11,10,Contributor&Reviewer,Java,todo-list,3,j4,Evolvability Defect -> Structure -> Organization,2,ACR,1
dev11,10,Contributor&Reviewer,Java,todo-list,3,j5,Functional Defect -> Check,3,ACR,1
dev11,10,Contributor&Reviewer,Java,todo-list,3,j6,Evolvability Defect -> Structure -> Solution Approach,1.5,ACR,1
dev11,10,Contributor&Reviewer,Java,word-utils,6,j18,Evolvability Defect -> Documentation -> Textual,1.5,CCR,1
dev11,10,Contributor&Reviewer,Java,word-utils,6,j19,Evolvability Defect -> Structure -> Solution Approach,1.5,CCR,1
dev11,10,Contributor&Reviewer,Java,word-utils,6,j20,Evolvability Defect -> Structure -> Organization,2.5,CCR,1
dev11,10,Contributor&Reviewer,Java,word-utils,6,j21,Evolvability Defect -> Structure -> Solution Approach,2.5,CCR,1
dev11,10,Contributor&Reviewer,Java,word-utils,6,j22,Functional Defect -> Check,3,CCR,1
